_exported_at;_system_object_id;objekttitel#de-DE;objekttitel#en-US;ppn;signatur_ama
2025-11-25T10:11:32+01:00;721996;Zai͏̈re - polyphonies Mongo / enregistrements réalisés en République Démocratique du Zai͏̈re par Benoit Quersin;;020812582;R 2386 020812582
2025-11-25T10:11:32+01:00;721997;Pablo, Pablo! / Pablo Lubadika Porthos;;025292234;R 1855 025292234
2025-11-25T10:11:32+01:00;721998;Zai͏̈re: entre les lacs et la forêt : la musique des Nande / enregistrement (1986, 1988) et texte de présentation: Serena Facci, [Verschiedene, teilweise im Booklet genannte Interpret*innen];;035025034;CD 47 035025034
2025-11-25T10:11:32+01:00;721999;1953 - 1954;;049051253;CD 1148 049051253
2025-11-25T10:11:32+01:00;722000;1954 - 1955;;049051326;CD 2262 049051326
2025-11-25T10:11:32+01:00;722001;Toleki bango / Classic Swédé Swédé;;049157175;CD 1655 049157175
2025-11-25T10:11:32+01:00;722002;Sabsylma / Zap Mama. Musiques, textes et arrangements: Marie Daulne ...;;051811057;CD 1079 051811057
2025-11-25T10:11:32+01:00;722003;Nouvelle ecriture / Viva la Musica & Papa Wemba;;071552979;CD 449 071552979
2025-11-25T10:11:32+01:00;722004;Africa worldwide : 35th anniversary album / Tabu Ley Seigneur Rochereau et l'Orchestre Afrisa International;;09343961X;CD 2230 09343961X
2025-11-25T10:11:32+01:00;722005;Bel ami / Papa Noel;;095960392;CD 2247 095960392
2025-11-25T10:11:32+01:00;722006;Lumumba Patrice : les cinquante derniers jours de sa vie / par G. Heinz et H. Donnay;;102227535;Af 7 1071 102227535
2025-11-25T10:11:32+01:00;722007;Ngoma : the early years, 1948 – 1960 / [Diverse Interpret*innen];;109708202;CD 2606 109708202
2025-11-25T10:11:32+01:00;722008;Ngoma : souvenir ya l’indépendance / [Diverse Interpret*innen];;109708237;CD 2605 109708237
2025-11-25T10:11:32+01:00;722009;"Live recording of the Afro European Tour / ""Franco"" Luambo Makiadi & his O.K. Jazz";;121696715;R 1865 121696715
2025-11-25T10:11:32+01:00;722010;The best ambiance / Bibi Dens Tshibayi;;121697770;R 900 121697770
2025-11-25T10:11:32+01:00;722011;Phénomène : la reine Cléopatre / Mbilia Bel;;121698912;R 902 121698912
2025-11-25T10:11:32+01:00;722012;Johnny Bokelo et son Orchestre Conga. Dewayon et Orchestre Cobantou;;121903990;R 2354 121903990
2025-11-25T10:11:32+01:00;722013;/ Orchestre Negro Succes;;121905489;R 315 121905489
2025-11-25T10:11:32+01:00;722014;OK Jazz 1960/62 [Vol. 2] / OK Jazz;;121906280;R 1259 121906280
2025-11-25T10:11:32+01:00;722015;Seigneur Ley on Tour / Tabu Ley et Orchestre Afrisa International;;121910601;R 1860 121910601
2025-11-25T10:11:32+01:00;722016;M'Bombo / Tshala Muana;;121912388;R 2358 121912388
2025-11-25T10:11:32+01:00;722017;Chagrin - Dimone / Defao de Choc Stars;;121927938;R 2365 121927938
2025-11-25T10:11:32+01:00;722018;L'intrepide Bavon Marie-Marie : a titre posthume cet album est dédié à Bavon Marie Marie / Bavon Marie-Marie & l'Orchestre Negro Succes;;121928985;R 1857 121928985
2025-11-25T10:11:32+01:00;722019;Beatrice Adele / Soukous Gang Musika. Monsieur Jaques & Mick Jo Lusala;;12192999X;R 2348 12192999X
2025-11-25T10:11:32+01:00;722020;Gérant / Pepe Kalle;;121930335;R 2215 121930335
2025-11-25T10:11:32+01:00;722021;Toleki bango (miles ahead) / Classic Swédé Swédé;;121930505;R 2363 121930505
2025-11-25T10:11:32+01:00;722022;Flash 7 / Miriam Makeba, Rochereau, Kallé, Jean Bokelo ...;;121930564;R 2355 121930564
2025-11-25T10:11:32+01:00;722023;Mokili ya Nzambe / Docteur Nico et son orchestre;;121946231;R 2224 121946231
2025-11-25T10:11:32+01:00;722024;Toute l'Afrique danse / avec le Docteur Nico et son Orchestre African Fiesta;;121946371;R 913 121946371
2025-11-25T10:11:32+01:00;722025;Vol. 1;;121946584;R 2229 121946584
2025-11-25T10:11:32+01:00;722026;Souvenir de l'African Jazz / Le Grand Kallé. African Jazz;;121946819;R 1856 121946819
2025-11-25T10:11:32+01:00;722027;Le phénomène / Lucide-Galant;;122024680;R 2350 122024680
2025-11-25T10:11:32+01:00;722028;L'évenement! Rochereau et Franco à Paris / Tabu Ley Rocheraeu et Franco Luambo Makiadi;;122024850;R 2046 122024850
2025-11-25T10:11:32+01:00;722029;Désolé!!! / Mbilia Bel;;122024982;R 2038 122024982
2025-11-25T10:11:32+01:00;722030;Beyanga / Mbilia Bel;;122025067;R 2039 122025067
2025-11-25T10:11:32+01:00;722031;Boya ye / Mbilia Bel;;122025164;R 903 122025164
2025-11-25T10:11:32+01:00;722032;Keyna et Cadence Mudanda / Mbilia Bel et Tabu Ley;;122025237;R 2041 122025237
2025-11-25T10:11:32+01:00;722033;Afro International / Jolie Detta;;122025350;R 2043 122025350
2025-11-25T10:11:32+01:00;722034;Afrisa L'International / Tabu Ley & l'Orchestre Afrisa;;122025571;R 2047 122025571
2025-11-25T10:11:32+01:00;722035;Pitié / Tabu Ley & l'Orchestre Afrisa;;122025873;R 2048 122025873
2025-11-25T10:11:32+01:00;722036;Sarah / Seigneur Tabu Ley avec l'Orchestre Afrisa International;;122025903;R 2049 122025903
2025-11-25T10:11:32+01:00;722037;Dr. Nico et les Redoutables aux USA / Dr. Nico & Les Redoutables;;122026195;R 2051 122026195
