PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
025292234	http://d-nb.info/gnd/1053482531	Pablo, Musiker	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1053482531","_standard":"text":"Pablo, Musiker"},"conceptName":"Pablo, Musiker"}	028E	$B:	Pablo <Musiker>	1952-	
035025034	http://d-nb.info/gnd/			028C	$B:Hrsg.	Facci, Serena		
049051253	http://d-nb.info/gnd/			028C	$B:Hrsg.	Kenis, Vincent		
049051326	http://d-nb.info/gnd/			028C	$B:Hrsg.	Kenis, Vincent		
049157175	http://d-nb.info/gnd/3058911-3	Classic Swédé Swédé	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3058911-3","_standard":"text":"Classic Swédé Swédé"},"conceptName":"Classic Swédé Swédé"}	029A	$4:cmp	Classic Swédé Swédé		
049157175	http://d-nb.info/gnd/3058911-3	Classic Swédé Swédé	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3058911-3","_standard":"text":"Classic Swédé Swédé"},"conceptName":"Classic Swédé Swédé"}	029F	$4:prf	Classic Swédé Swédé		
051811057	http://d-nb.info/gnd/134979338	Daulne, Marie	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134979338","_standard":"text":"Daulne, Marie"},"conceptName":"Daulne, Marie"}	028A	$B:	Daulne, Marie		
051811057	http://d-nb.info/gnd/3027221-X	Zap Mama	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3027221-X","_standard":"text":"Zap Mama"},"conceptName":"Zap Mama"}	029E	$B:	Zap Mama		
071552979	http://d-nb.info/gnd/			028E	$B:	Wemba, Papa		
071552979	http://d-nb.info/gnd/3041004-6	Viva la Musica	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3041004-6","_standard":"text":"Viva la Musica"},"conceptName":"Viva la Musica"}	029F	$B:	Viva la Musica		
09343961X	http://d-nb.info/gnd/134782542	Ley, Tabu	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134782542","_standard":"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028A	$4:cmp	Ley, Tabu	1940-2013	
09343961X	http://d-nb.info/gnd/134782542	Ley, Tabu	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134782542","_standard":"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028E	$B:	Ley, Tabu	1940-2013	
09343961X	http://d-nb.info/gnd/3028408-9	Afrisa International Orchestra	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3028408-9","_standard":"text":"Afrisa International Orchestra"},"conceptName":"Afrisa International Orchestra"}	029E	$B:	Afrisa International Orchestra		
102227535	http://d-nb.info/gnd/			028A	$4:aut	Heinz, G.		
102227535	http://d-nb.info/gnd/			028C	$4:aut	Donnay, H.		
