PPN	Signatur_PPN	Pk dB Range	Objekttitel	Objektbeschreibung	Umfang	Weitere Nummer (Signatur)	Weitere Nummer (Verlagsnr.)	Datum	Ort	Label	Schlagwörter	Teilsammlung (AMA)	Weitere Informationen	GND-ID (1.)	Kategorie (1.)	Rolle (1.)	Name (1.)	Bemerkung (1.)	GND-ID (2.)	Kategorie (2.)	Rolle (2.)	Name (2.)	Bemerkung (2.)	GND-ID (3.)	Kategorie (3.)	Rolle (3.)	Name (3.)	Bemerkung (3.)	GND-ID (4.)	Kategorie (4.)	Rolle (4.)	Name (4.)	Bemerkung (4.)	GND-ID (5.)	Kategorie (5.)	Rolle (5.)	Name (5.)	Bemerkung (5.)	GND-ID (6.)	Kategorie (6.)	Rolle (6.)	Name (6.)	Bemerkung (6.)	GND-ID (7.)	Kategorie (7.)	Rolle (7.)	Name (7.)	Bemerkung (7.)	etc.	
025292234	R 1855 025292234	-9.17 / -9.61	Pablo, Pablo! / Pablo Lubadika Porthos	Enth.: Ngai locataire. Na mituni. Motema ebouge. Osuki wapi	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 1855	ORB 008	1985	London	Globe Style Records [u.a.]	Musik, Kongo, Soukous, Populäre Musik	2004/347		1053482531	028E		Pablo <Musiker>	1952-	
035025034	CD 47 035025034	-0.21 / -5.26	Zai͏̈re: entre les lacs et la forêt : la musique des Nande / enregistrement (1986, 1988) et texte de présentation: Serena Facci, [Verschiedene, teilweise im Booklet genannte Interpret*innen]	Enth.: Instruments solistes  - Arc musical ekibulenge. Flûte endeku. Vièle akaghovoghovo. Harpe enanga. Flûte enyamulere (a-b-c). Lamellophone akasayi. Lamellophone erikembe. Guitare - Musique des femmes  - Chant de mariage. Deux berceuses. Deux danses pour une naissance (a-b) - Musiques d'ensembles  - Endara. Erirenga. Omunde. Erighomba	1 CD (66:09) ; ADD ; 12 cm ; 1 Booklet	CD 47	VDE-652	1991	Lausanne	Disque VDE-Gallo	Musik, Kongo, Traditionelle Musik	1993/1207			028C	Hrsg.	Facci, Serena		
049051253	CD 1148 049051253	-0.24 / -4.87	1953 - 1954	Enth.: Kotiya zolo te - Mam’alobi na balayo - Tembe na tembe - Noko akomi mobali - Tika lofundu - Menagere - Ah, ngai nzambe - Odjali na mouchoir? - Belito - Margarine fina - Nyekese - Angelique - Nyokuma - Prince Baudouin - Towuti Brazza toye Kisasa - Mazole vanga sanga - Nalekaki na nzela - Kitoko na yo ekosaki ngai - Esengo ya mokili - Na mokili moko te	1 CD (60:50) ; Beih.	CD 1148	CRAW 4	1991	Brussels	Crammed Discs	Musik, Kongo, Populäre Musik	66.17/0013	„This compilation makes available for the first time since their original release on the Loningisa label in the fiftieth some early classic …”		028C	Hrsg.	Kenis, Vincent		
049051326	CD 2262 049051326	-0.00 / -3.80	1954 - 1955	Enth.: Esengo ya la beauté - Balobi na pimbwa - Caroline - Senene Mingi - Banani wana? - Boyoki lisolo? - Kanisa elise - Mbula ebeti, naleli - Nicodème lulu - Oka banzola - Bana bosenge - Osi dia mba nyue - Ndumba Madeleine - Liwa - Ayebi kobota - Mwanzi wa kalemba - Tuba mbote - Olingi na sala boni - Liwa ya nkoko - Bomba na motema	1 CD (61:09) ; Beih.	CD 2262	CRAW 10	1995	Brussels	Crammed Discs	Musik, Kongo, Populäre Musik	66.20/1711.FH	„Available for the first time since their original release on the Loningisa label in the fiftieth …”		028C	Hrsg.	Kenis, Vincent		
049157175	CD 1655 049157175	0.00 / -0.22	Toleki bango / Classic Swédé Swédé	Enth.: Nalanda te. Yogo. Ekokolo. Bipale ya nini. Kombe kombe. Mama Kadi	1 CD (39:29) ; Stereo, digital ; 12 cm	CD 1655	CRAW 1CD	1991	Brussels	Cramworld/Crammed Discs	Musik, Kongo, Populäre Musik	66.19/GeRS		3058911-3	029A	cmp	Classic Swédé Swédé		3058911-3	029F	prf	Classic Swédé Swédé		
051811057	CD 1079 051811057	-0.20 / -2.15	Sabsylma / Zap Mama. Musiques, textes et arrangements: Marie Daulne ...	Enth. u.a.: Furahi. Mais qu'est-ce?. India	1 CD (61:56) ; Digital audio ; 12 cm ; Beih.	CD 1079	CRAW 12, COL 4765482	1994	Brussels, [S.l.]	Crammed Discs, Columbia	Musik, Weltmusik, Populäre Musik	2015/Ge		134979338	028A		Daulne, Marie		3027221-X	029E		Zap Mama		
071552979	CD 449 071552979	-0.18 / -0.18	Nouvelle ecriture / Viva la Musica & Papa Wemba	Enth.: Saï saï. She canta. Effo perso. Manu Kapinga. Mama. Jeancy. Est-ce que. Djo. Consolation. Ba diamants	1 CD (60:54) ; Stereo, digital ; 12 cm ; 1 Booklet	CD 449	Sonodisc CDX 8828, 790333	1997	Paris	Sonodisc	Musik, Populäre Musik	1998/1581			028E		Wemba, Papa		3041004-6	029F		Viva la Musica		
09343961X	CD 2230 09343961X	-0.20 / -0.20	Africa worldwide : 35th anniversary album / Tabu Ley Seigneur Rochereau et l'Orchestre Afrisa International	Enth.: Nairobi. Sala noki Pascal. Café Rica. Lisanga ya bambanda. Likala ya moto. Africa mokili mobimba. Kimakango to libala. Christina. Marie Clara. Mokitani ya wendo. Ruffine. Ah! Congo	1 CD (43:12) ; 12 cm ; Booklet	CD 2230	Rounder 5039, Rounder Records CD 5039	1996	Cambridge, Ma.	Rounder Records	Musik, Kongo, Populäre Musik	66.19/0035	All songs by Tabu Ley Rochereau except Africa mokili mobimba (Déchaud, copyright control)	134782542	028A	cmp	Ley, Tabu	1940-2013	134782542	028E		Ley, Tabu	1940-2013	3028408-9	029E		Afrisa International Orchestra		
102227535	Af 7 1071 102227535	-6.06 / -6.06	Lumumba Patrice : les cinquante derniers jours de sa vie / par G. Heinz et H. Donnay		195 Seiten ; Illustrationen ; 2 Schallfolien (33 Upm ; 18 cm)	Af 7 1071		1966	Bruxelles	C. R. I. S. P.	Geschichte, Politik, Unabhängigkeit, DR Kongo, Zaire, Tondokument	2000/830	Schallfolien-Beil. u.d.T.: Patrice Lumumba parle		028A	aut	Heinz, G.			028C	aut	Donnay, H.		118575295	028C		Lumumba, Patrice É.	1925-1961	
109708202	CD 2606 109708202	-0.16 / -3.45	Ngoma : the early years, 1948 – 1960 / [Diverse Interpret*innen]	Enth.: Marie-Louise, 1948 - Nabuyasaki yo kokota te na ndako na ngai - Ekoko bata - Chérie bondowe - Yen vavanga - Paul Kamba atiki biso - Babengaki biso toboyi - Njila ya ndolo - Liwa ya koko Albert - Tokanisa tata ngoma - Bibi Sultani - Bibi Yangu - Bibi Bertha Mosoko - Congo ya biso basi bayebi kolata - Année 59 - Cherie toyokana malamu - Nabala muluba - Cha cha cha bay - Batu ya monoko - Guigui - Mbila na biso - Pyramide - Maria tchebo - Tout le monde samedi soir - Marie-Louise, 1958	1 CD (77:39) ; Stereo, digital ; 12 cm ; 1 Booklet [26 S. : zahlr. Ill.]	CD 2606	Popular African Music PAMAP 101	1996	Frankfurt [Main]	Popular African Music		66.20/1711.FH	„In cooperation with Archiv der Musik Afrikas, Institut für Ethnologie und Afrikastudien, Universität Mainz“ - „All tracks licensed from A. Jéronimidis”	3055419-6	029A		Ngoma		
109708237	CD 2605 109708237	-0.07 / -0.73	Ngoma : souvenir ya l’indépendance / [Diverse Interpret*innen]	Enth.: Kongo nsi eto - Tokanisa Kongo ya biso - Bukole - Muana nkento bebele - Louise Maarie wa motema - Chérie akimi ngai - Seven o’clock - Ekedy - Bolingo ya mosika mabé - Les jeunes de Beguen - Rythmo de mi coraco - Mu nzila n’sona - Merengue rumba rumba - El rythmo novelty - Independance 28 nov. - Jazz mango - Tukanga nzila - Gouvernement ya Congo - Tata sendue na Katanga - Ukala na ndeke - Yakolimwa mabé - Indépendance - La communauté - Souvenir ya l’indépendance - Kongo na beto	1 CD (76:26) ; Stereo, digital ; 12 cm ; 1 Booklet [20 Seiten : zahlr. Ill.]	CD 2605	Popular African Music PAMAP 102	1997	Frankfurt [Main]	Popular African Music		66.20/1711.FH	„In cooperation with Archiv der Musik Afrikas, Institut für Ethnologie und Afrikastudien, Universität Mainz“ - „All tracks licensed from A. Jéronimidis”	3055419-6	029A		Ngoma		
