PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
020812582	134646304	Quersin, Benoit	{"frontendLanguage":"de","_fulltext":{"text":"(DE-101c)310336309 (DE-588a)134646304 Belgien Jazzmusiker Katalogisierungslevel 1 Kontrabass Musiker Musikethnologe Männlich Personen zu Musik Quersin, Benoît "},"conceptURI":"https://d-nb.info/134646304","_standard":{"text":"Quersin, Benoit"},"conceptName":"Quersin, Benoit"}	028C	$4:edt	Quersin, Benoit	1927-1993	
025292234	1053482531	Pablo, Musiker	{"frontendLanguage":"de","_fulltext":{"text":"Demokratische Republik Kongo Inongo Kongo (Demokratische Republik) Lubadika Porthos, Pablo Lubadika, Pablo Musiker Männlich Pablo Pablo de Zaiko Paolo, Don Porthos, Pablo Lubadika Religion "},"conceptURI":"https://d-nb.info/1053482531","_standard":{"text":"Pablo, Musiker"},"conceptName":"Pablo, Musiker"}	028E	$B:	Pablo <Musiker>	1952-	
035025034				028C	$4:edt	Facci, Serena		
049051253				028C	$4:edt	Kenis, Vincent		
049051326				028C	$4:edt	Kenis, Vincent		
049157175	3058911-3	Classic Swédé Swédé	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3029040-5 (DE-588b)3058911-3 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Kongo (Demokratische Republik) Kongo (Demokratische Republik)(Zaire) Musik (Allgemeines), Musikgeschichte Musikgruppe Swédé Swédé "},"conceptURI":"https://d-nb.info/3058911-3","_standard":{"text":"Classic Swédé Swédé"},"conceptName":"Classic Swédé Swédé"}	029A	$4:cmp	Classic Swédé Swédé		
049157175	3058911-3	Classic Swédé Swédé	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3029040-5 (DE-588b)3058911-3 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Kongo (Demokratische Republik) Kongo (Demokratische Republik)(Zaire) Musik (Allgemeines), Musikgeschichte Musikgruppe Swédé Swédé "},"conceptURI":"https://d-nb.info/3058911-3","_standard":{"text":"Classic Swédé Swédé"},"conceptName":"Classic Swédé Swédé"}	029F	$4:prf	Classic Swédé Swédé		
051811057	134979338	Daulne, Marie	{"frontendLanguage":"de","_fulltext":{"text":"(DE-101c)310669332 (DE-588a)134979338 Belgien Demokratische Republik Kongo Isiro Kongo (Demokratische Republik) Musikerin Religion Weiblich Zap Mama "},"conceptURI":"https://d-nb.info/134979338","_standard":{"text":"Daulne, Marie"},"conceptName":"Daulne, Marie"}	028A	$B:	Daulne, Marie		
051811057	3027221-X	Zap Mama	{"frontendLanguage":"de","_fulltext":{"text":"(DE-101c)320301389 (DE-588)1086633164 (DE-588b)10304398-6 (DE-588b)3027221-X Allgemeines, Interdisziplinäre Allgemeinwörter Belgien Daulne, Marie Musik (Allgemeines), Musikgeschichte Musikgruppe "},"conceptURI":"https://d-nb.info/3027221-X","_standard":{"text":"Zap Mama"},"conceptName":"Zap Mama"}	029E	$B:	Zap Mama		
071552979				028E	$B:	Wemba, Papa		
071552979	3041004-6	Viva la Musica	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3041004-6 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Frankreich Kongo (Demokratische Republik)(Zaire) Musik (Allgemeines), Musikgeschichte Musikgruppe Orch. Viva la Musica Orchestre Viva la Musica "},"conceptURI":"https://d-nb.info/3041004-6","_standard":{"text":"Viva la Musica"},"conceptName":"Viva la Musica"}	029F	$B:	Viva la Musica		
