PPN	Signatur	Signatur_PPN	Product	DateCreated	Artist	
020812582	R 2386	R 2386 020812582	Zai͏̈re - polyphonies Mongo / enregistrements réalisés en République Démocratique du Zai͏̈re par Benoit Quersin - Disques Ocora (Radio France)	1982	Quersin, Benoit	
025292234	R 1855	R 1855 025292234	Pablo, Pablo! / Pablo Lubadika Porthos - Globe Style Records [u.a.]	1985	Pablo <Musiker>	
035025034	CD 47	CD 47 035025034	Zai͏̈re: entre les lacs et la forêt : la musique des Nande / enregistrement (1986, 1988) et texte de présentation: Serena Facci, [Verschiedene, teilweise im Booklet genannte Interpret*innen] - Disque VDE-Gallo	1991	Facci, Serena	
049051253	CD 1148	CD 1148 049051253	1953 - 1954 - Crammed Discs	1991	Kenis, Vincent	
049051326	CD 2262	CD 2262 049051326	1954 - 1955 - Crammed Discs	1995	Kenis, Vincent	
049157175	CD 1655	CD 1655 049157175	Toleki bango / Classic Swédé Swédé - Cramworld/Crammed Discs	1991	Classic Swédé Swédé / Classic Swédé Swédé	
051811057	CD 1079	CD 1079 051811057	Sabsylma / Zap Mama. Musiques, textes et arrangements: Marie Daulne ... - Crammed Discs, Columbia	1994	Daulne, Marie / Zap Mama	
071552979	CD 449	CD 449 071552979	Nouvelle ecriture / Viva la Musica & Papa Wemba - Sonodisc	1997	Wemba, Papa / Viva la Musica	
09343961X	CD 2230	CD 2230 09343961X	Africa worldwide : 35th anniversary album / Tabu Ley Seigneur Rochereau et l'Orchestre Afrisa International - Rounder Records	1996	Ley, Tabu / Ley, Tabu / Afrisa International Orchestra	
095960392	CD 2247	CD 2247 095960392	Bel ami / Papa Noel - Sterns Africa	2000	Papa Noël / Papa Noël	
102227535	Af 7 1071	Af 7 1071 102227535	Lumumba Patrice : les cinquante derniers jours de sa vie / par G. Heinz et H. Donnay - C. R. I. S. P.	1966	Heinz, G. / Donnay, H. / Lumumba, Patrice É.	
109708202	CD 2606	CD 2606 109708202	Ngoma : the early years, 1948 – 1960 / [Diverse Interpret*innen] - Popular African Music	1996	Ngoma	
109708237	CD 2605	CD 2605 109708237	Ngoma : souvenir ya l’indépendance / [Diverse Interpret*innen] - Popular African Music	1997	Ngoma	
121696715	R 1865	R 1865 121696715	Live recording of the Afro European Tour / "Franco" Luambo Makiadi & his O.K. Jazz - African	1978	Franco <Musiker> / Tout-Puissant OK Jazz	
121697770	R 900	R 900 121697770	The best ambiance / Bibi Dens Tshibayi - Sacko Prod.	1982	Tshibayi, Bibi Den's	
121698912	R 902	R 902 121698912	Phénomène : la reine Cléopatre / Mbilia Bel - Creation PIM 2001 Willybiro	1988	Bel, M'bilia	
121903990	R 2354	R 2354 121903990	Johnny Bokelo et son Orchestre Conga. Dewayon et Orchestre Cobantou - African	1969	Bokelo, Johnny / Dewayon / Conga Succès / Orchestre Cobantou / Orchestre Vox-Negros	
121905489	R 315	R 315 121905489	 / Orchestre Negro Succes - African (Sonodisc)	1970	Orchestre Negro Succes	
121906280	R 1259	R 1259 121906280	OK Jazz 1960/62 [Vol. 2] / OK Jazz - African, Sonodisc (Distr.)	1964	Franco <Musiker> / Tout-Puissant OK Jazz	
121910601	R 1860	R 1860 121910601	Seigneur Ley on Tour / Tabu Ley et Orchestre Afrisa International - African	1978	Ley, Tabu / Afrisa International Orchestra	
121912388	R 2358	R 2358 121912388	M'Bombo / Tshala Muana - Eds. Kaluila, Gefraco (Distr.)	1988	Muana, Tshala	
121927938	R 2365	R 2365 121927938	Chagrin - Dimone / Defao de Choc Stars - Eds. Kaluila, Gefraco (Distr.)	1988	Defao / Choc Stars	
121928985	R 1857	R 1857 121928985	L'intrepide Bavon Marie-Marie : a titre posthume cet album est dédié à Bavon Marie Marie / Bavon Marie-Marie & l'Orchestre Negro Succes - African	1970	Bavon Marie-Marie / Orchestre Negro Succes	
12192999X	R 2348	R 2348 12192999X	Beatrice Adele / Soukous Gang Musika. Monsieur Jaques & Mick Jo Lusala - Nubian Productions, Stern's Records (Distr.)	1992	Monsieur Jaques / Lusala, Mick Jo / Soukous Gang Musika	
121930335	R 2215	R 2215 121930335	Gérant / Pepe Kalle - Syllart Production	1991	Pépé Kallé	
121930505	R 2363	R 2363 121930505	Toleki bango (miles ahead) / Classic Swédé Swédé - Crammed Discs	1991	Classic Swédé Swédé	
121930564	R 2355	R 2355 121930564	Flash 7 / Miriam Makeba, Rochereau, Kallé, Jean Bokelo ... - African	1966	Makeba, Miriam / Ley, Tabu / Kabasele, Joseph / Bokelo, Johnny / African Fiesta / African Jazz / Conga Succès	
121946231	R 2224	R 2224 121946231	Mokili ya Nzambe / Docteur Nico et son orchestre - African	1969		
121946371	R 913	R 913 121946371	Toute l'Afrique danse / avec le Docteur Nico et son Orchestre African Fiesta - Sonafric (Sonodisc)	1975	Nico <Docteur> / African Fiesta	
121946584	R 2229	R 2229 121946584	Vol. 1 - Disco Stock	1980	Ley, Tabu / Afrisa International Orchestra	
121946819	R 1856	R 1856 121946819	Souvenir de l'African Jazz / Le Grand Kallé. African Jazz - 	1970	Kabasele, Joseph / African Jazz	
122024680	R 2350	R 2350 122024680	Le phénomène / Lucide-Galant - Lilian Ma-Ta-Vi Productions, Sonodisc (Distr.)	1990	Ma-Ta-Vi, Lilian / Galant, Lucide	
122024850	R 2046	R 2046 122024850	L'évenement! Rochereau et Franco à Paris / Tabu Ley Rocheraeu et Franco Luambo Makiadi - Genidia, Sonodisc (Distr.)	1983	Ley, Tabu / Franco <Musiker> / Afrisa International Orchestra	
122024982	R 2038	R 2038 122024982	Désolé!!! / Mbilia Bel - Kamara Sound, Celluloid	1991	Bel, M'bilia	
122025067	R 2039	R 2039 122025067	Beyanga / Mbilia Bel - Genidia, Sonodisc (Distr.)	1986	Bel, M'bilia	
122025164	R 903	R 903 122025164	Boya ye / Mbilia Bel - Genidia	1985	Bel, M'bilia	
122025237	R 2041	R 2041 122025237	Keyna et Cadence Mudanda / Mbilia Bel et Tabu Ley - Genidia, Sonodisc (Distr.)	1984	Ley, Tabu / Bel, M'bilia	
122025350	R 2043	R 2043 122025350	Afro International / Jolie Detta - Izason, Ed. Veve Internat. (Distr.)	1985	Detta, Jolie	
122025571	R 2047	R 2047 122025571	Afrisa L'International / Tabu Ley & l'Orchestre Afrisa - African, Sonodisc (Distr.)	1973	Ley, Tabu / Afrisa International Orchestra	
122025873	R 2048	R 2048 122025873	Pitié / Tabu Ley & l'Orchestre Afrisa - African, Sonodisc (Distr.)	1972	Ley, Tabu / Afrisa International Orchestra	
122025903	R 2049	R 2049 122025903	Sarah / Seigneur Tabu Ley avec l'Orchestre Afrisa International - Genidia, Sonodisc (Distr.)	1984	Ley, Tabu / Afrisa International Orchestra	
122026195	R 2051	R 2051 122026195	Dr. Nico et les Redoutables aux USA / Dr. Nico & Les Redoutables - Africa New Sound	1985	Nico <Docteur> / Redoutables	
122026543	R 2035	R 2035 122026543	Massengo malingi yo / Trio Madjesi et Orchestre Sosoliso (avec la participation d'Air Zaire) - African	1973	Trio Madjesi / Orchestre Sosoliso	
122026632	R 2050	R 2050 122026632	Le Seigneur Rochereau dans la musique congolaise de variétés / Tabu Ley Rochereau & L'Orchestre African Fiesta National "Le Peuple" - African	1970	Ley, Tabu / African Fiesta	
122026683	R 2052	R 2052 122026683	Gigant-Afrique : the bombe atomique of Zairean music / Pépé Kallé - Globe Style	1990	Pépé Kallé / Empire Bakuba	
122050762	R 2217	R 2217 122050762	L'argent ne fait pas le bonheur / Pépé Kallé - Gefraco	1988	Pépé Kallé	
122050983	R 2194	R 2194 122050983	Gaia / Ray Lema - Mango (Island Records)	1990	Lema, Ray	
