PPN	Signatur	Signatur_PPN	weitere Signaturen	Objekttitel	Reihentiteltitel	"Sprachen"	Objektbeschreibung	Umfang	"Weitere Nummer (Typ)"	"Weitere Nummer (Wert)"	Datum	"Ort"	"Ort-System-ID"	Label	"Schlagwörter"	Teilsammlung (AMA)	Weitere Informationen	Merkmale	Interpret	Ereignis	"GND-URL"	"Import-Name"	"Name"	"Rolle"	"Bemerkung"
006511325	TK 217	TK 217 006511325	1993/502		Songs and stories from Uganda	"und"	Enth.: 'Keenene. Nnoonya mwana wange. Kaleeba. Wavvuuvuumira. Twerlire. Nnyonyi. Purrrr Ce! Awo! Nsangi. Akanyonyi - Ttimba-narative and songs. Woowooto. Ca, Ca, Ca		"Signatur"	"TK 217"	1986	"Danbury, CT"	""	World Music Press	""					Veröffentlichung (musikalisches Werk)	"|"	"Serwadda, William M.|Vecchia, Moriah|World Music Press"	"Serwadda, William M.|Vecchia, Moriah|World Music Press"	"Interpretation (durch)|Interpretation (durch)|Musiklabel"	"|"
028546377	TK 390	TK 390 028546377			Marabi nights	"und"	Enth.: Stimela No.1 - Sponono naMarabi - Tsaba Tsaba ke No.1 - Qua qa - Ndunduma - Emakhaya - Khanya - eGoli - Aubuti Nkikho - eBhayi - Sbhinono - Evelina - Sponono - Ntebejana - iChain covers - uMajaji - Woza we Mzala - Marabi No.2 Jive - Mabuza - Mkhize - Heat wave - Zulu piano medley No.1, part 1 - Zulu piano medley No.2, part 1 - Izikhalo zika Zuluboy - Tsaba Tsaba	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 390|Ravan Press RA 100"	1993	"Johannesburg"	""	Ravan Press	"Musik|Musikwissenschaft|Populäre Kultur|Südafrika|Jazz|Vaudeville"	1995/1566	Titel 1-10: Vaudeville, Titel 11-25: Jazz	Buchtitel mit Signatur Af 8 1080 in der Bibliothek		Veröffentlichung (musikalisches Werk)	"|http://d-nb.info/gnd/1072868709"	"Ballantine, Christopher|Allingham, Rob|Ravan Press"	"Ballantine, Christopher|Allingham, Rob|Ravan Press"	"Produktion (von)|Produktion (von)|Musiklabel"	"|"
124676669	TK 116	TK 116 124676669		Respect Africa / Bright Chimezie		"und"	Enth.: Respect Africa. You can't hurry the Sunrise - Lekwa Uwam. Liza.	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 116|RASLPS 059"	1985	"Ikeja"	""	RAS (Rogers All Stars Nigeria)	"Musik|Nigeria|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1125909072|http://d-nb.info/gnd/1125909072"	"Chimezie, Bright|Chimezie, Bright|RAS (Rogers All Stars Nigeria)"	"Chimezie, Bright|Chimezie, Bright|RAS (Rogers All Stars Nigeria)"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"1960-|1960-"
124676812	TK 109	TK 109 124676812		Bangwele : a tribute to Zambia National Soccer Team "Chipolopolo" / Amayenge Band		"und"	Enth.: Muye Mubebe (Iyi Ndeke). Chipolopolo - Bangwele. Muye Mubebe (Iyi Ndeke)	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 109|ZMC CAMY 1"	1999	"Lusaka?"	"721403"	ZMC	"Musik|Sambia|Fußball|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1125742321|http://d-nb.info/gnd/1125742526|http://d-nb.info/gnd/3016334-1"	"Chali, Kris|Silokomela, Audrick Esamu|Amayenge|ZMC"	"Chali, Kris|Silokomela, Audrick Esamu|Amayenge|ZMC"	"Komposition (von)|Komposition (von)|Interpretation (durch)|Musiklabel"	"19XX-2003||"
124676952	TK 1915	TK 1915 124676952		Mikombo wa Kaleo : Misambu ne Nsumwinu ya bena Kasai / Sangalayi		"und"	Lusumwinu Iwa Mikambo wa Kaleo. Mikombo. Dipoloma. Njanja. Bakaya	1 Audiokassette ; stereo	"Signatur|Verlags-Bestellnummer"	"TK 1915|KS9001"	1990	""	""		"Musik|Kongo|Traditionelle Musik"	66.20/1711.FH			Sangalayi	Veröffentlichung (musikalisches Werk)	"|||||||http://d-nb.info/gnd/3060011-X"	"Kazadi, S.|Lusamba, M.K.|Lusamba, M.M.|Mpunga, W.I.|Mubedi, I.|Ndekenya, L.|Nzembela, K.|Sangalayi"	"Kazadi, S.|Lusamba, M.K.|Lusamba, M.M.|Mpunga, W.I.|Mubedi, I.|Ndekenya, L.|Nzembela, K.|Sangalayi"	"Interpretation (durch)|Beteiligte Person/Körperschaft|Beteiligte Person/Körperschaft|Beteiligte Person/Körperschaft|Beteiligte Person/Körperschaft|Beteiligte Person/Körperschaft|Beteiligte Person/Körperschaft|Interpretation (durch)"	"|||||||"
124677002	TK 115	TK 115 124677002		Bad Friend - Rastas never die / Jambo featuring Sipho Jonson. Lucky Dube		"und"	Enth.: Shine on brighter - Bad friend - Don't cry - No man kill another man - Jahovia - Sharing - This is mine - Twilight children - Rastas Never die - Fresh air - I love you - Reggae man - Crazy world (Bonus)		"Signatur|Verlags-Bestellnummer"	"TK 115|AF-97"	1984	"Dubai"	""	Thomsun Original (Thomsun Music)	"Musik|Südafrika|Reggae|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1125906472|http://d-nb.info/gnd/134781104|http://d-nb.info/gnd/1125906588"	"Johnson, Sipho|Dube, Lucky|Jambo (Musikgruppe)|Thomsun Original (Thomsun Music)"	"Johnson, Sipho|Dube, Lucky|Jambo|Thomsun Original (Thomsun Music)"	"Interpretation (durch)|Interpretation (durch)|Interpretation (durch)|Musiklabel"	"|1964-2007|"
124677231	TK 117	TK 117 124677231		Umoja / Watafiti		"und"	Enth.: Umoja. Usinisogelee. Nkanankwe. Mnyonge Hana Haki - Koba. Karibu Tanzania. Tega Sikio. Krezi Kona	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 117|-"	1990	"Rotterdam"	""	RBS Studios	"Musik|Tansania|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3060013-3"	"Watafiti|RBS Studios"	"Watafiti|RBS Studios"	"Interpretation (durch)|Musiklabel"	""
12475838X	TK 118	TK 118 12475838X		Jika Jika / Jimmy "B"		"en"	Enth.: Intro [Side A]. Jika Jika. In thy name of love. Be with me father. For the rest of my life. Prelude. You gotta believe - Intro [Side B]. Rude boy. Let's get down. Gimme the little. Sincerely yours. Jika Jika (radio edit)	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 118|MGS 54 R"	1995	"Südafrika"	"4802"	[Gallo Records]	"Musik|Sierra Leone|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/112591596X"	"Jimmy B|[Gallo Records]"	"Jimmy B|[Gallo Records]"	"Interpretation (durch)|Musiklabel"	""
124776744	TK 114	TK 114 124776744		In the morning light / Onyeka Onwenu		"en|und"	Enth.: Ekwe. Alleluya. Master plan. Foreever - Time is high. (In the ) morning light. Friends. (Waiting for) the right time. Trina Four (Highland town)	1 Tonkassette ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 114|AY01"	1985	"Lagos"	"24258"	AYOI.I.O Records	"Musik|Nigeria|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1125903120|http://d-nb.info/gnd/1125903120"	"Onwenu, Onyeka|Onwenu, Onyeka|AYOI.I.O Records"	"Onwenu, Onyeka|Onwenu, Onyeka|AYOI.I.O Records"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"1952-2024|1952-2024"
124777341	TK 110	TK 110 124777341		Volume 3 / Charlotte Mbango		"und"	Enth.: Maloko. Oa nde we. Mutonde bato - Adou. Naso ade. Ne oa mbusa	1 Tonkassette ; Mono/Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 110|Energy MC 54681 SD 08"	1991	"France?"	"4050"	Energy Production	"Musik|Kamerun|Populäre Musik"	2015/-				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1064720811|http://d-nb.info/gnd/1081157933|http://d-nb.info/gnd/1064720811"	"Mbango, Charlotte|Mboulé, Joe|Mbango, Charlotte|Energy Production"	"Mbango, Charlotte|Mboulé, Joe|Mbango, Charlotte|Energy Production"	"Komposition (von)|Komposition (von)|Interpretation (durch)|Musiklabel"	"1960-2009|1953-2015|1960-2009"
