PPN	Signatur_PPN	Objekttitel	Reihentiteltitel	"Sprachen"	Objektbeschreibung	Umfang	Weitere Nummer (Typ Signatur)	Weitere Nummer (Signatur)	Weitere Nummer (Typ Verlagsnr.)	Weitere Nummer (Verlagsnr.)	Weitere Nummer (Typ UPC)	Weitere Nummer (UPC)	Weitere Nummer (Typ Matrix)	Weitere Nummer (Matrix)	Datum	"Ort"	Label	"Schlagwörter"	Teilsammlung (AMA)	Weitere Informationen	Merkmale	Interpret	Ereignis	"GND-URL"	"GND-Name"	"Rolle"	"Name"	"Bemerkung"	
020812582	R 2386 020812582	Zai͏̈re - polyphonies Mongo / enregistrements réalisés en République Démocratique du Zai͏̈re par Benoit Quersin		"und"		1 Schallpl. in Album ; 33 UpM ; 30 cm	Signatur	R 2386	Verlags-Bestellnummer	Ocora OCR 53					1982	"Paris,Paris"	Disques Ocora (Radio France), Harmonia Mundi France [Vertrieb]	"Musik,Kongo,Ekonda,Batwa,Traditionelle Musik"	0020733				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134646304"	"Quersin, Benoit"	"Musikalisches Werk Herausgabe (durch)"	"Quersin, Benoit"	"1927-1993"	
025292234	R 1855 025292234	Pablo, Pablo! / Pablo Lubadika Porthos		"lin"	Enth.: Ngai locataire. Na mituni. Motema ebouge. Osuki wapi	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1855	Verlags-Bestellnummer	ORB 008					1985	"London"	Globe Style Records {[u.a.]	"Musik,Kongo,Soukous,Populäre Musik"	2004/347			Interpr.: Pablo Lubadika Porthos	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1053482531"	"Pablo, Musiker"	"Interpretation (durch)"	"Pablo <Musiker>"	"1952-"	
035025034	CD 47 035025034	Zai͏̈re: entre les lacs et la forêt : la musique des Nande / enregistrement (1986, 1988) et texte de présentation: Serena Facci, [Verschiedene, teilweise im Booklet genannte Interpret*innen]		"und"	Enth.: Instruments solistes  - Arc musical ekibulenge. Flûte endeku. Vièle akaghovoghovo. Harpe enanga. Flûte enyamulere (a-b-c). Lamellophone akasayi. Lamellophone erikembe. Guitare - Musique des femmes  - Chant de mariage. Deux berceuses. Deux danses pour une naissance (a-b) - Musiques d'ensembles  - Endara. Erirenga. Omunde. Erighomba	1 CD (66:09) ; ADD ; 12 cm ; 1 Booklet	Signatur	CD 47	Verlags-Bestellnummer	VDE-652	Produkt-Nummer	7619918065228			1991	"Lausanne"	Disque VDE-Gallo	"Musik,Kongo,Traditionelle Musik"	1993/1207				Veröffentlichung (musikalisches Werk)	""	""	"Musikalisches Werk Herausgabe (durch)"	"Facci, Serena"	""	
049051253	CD 1148 049051253	1953 - 1954	Zaïre classics/Roots of rumba rock	"und"	Enth.: Kotiya zolo te - Mam’alobi na balayo - Tembe na tembe - Noko akomi mobali - Tika lofundu - Menagere - Ah, ngai nzambe - Odjali na mouchoir? - Belito - Margarine fina - Nyekese - Angelique - Nyokuma - Prince Baudouin - Towuti Brazza toye Kisasa - Mazole vanga sanga - Nalekaki na nzela - Kitoko na yo ekosaki ngai - Esengo ya mokili - Na mokili moko te	1 CD (60:50) ; Beih.	Signatur	CD 1148	Verlags-Bestellnummer	CRAW 4	Produkt-Nummer	5-410377-204027, 5410377204027			1991	"Brussels"	Crammed Discs	"Musik,Kongo,Populäre Musik"	66.17/0013	„This compilation makes available for the first time since their original release on the Loningisa label in the fiftieth some early classic …”			Veröffentlichung (musikalisches Werk)	""	""	"Musikalisches Werk Herausgabe (durch)"	"Kenis, Vincent"	""	
049051326	CD 2262 049051326	1954 - 1955	Zai͏̈re classics/Roots of rumba rock	"und"	Enth.: Esengo ya la beauté - Balobi na pimbwa - Caroline - Senene Mingi - Banani wana? - Boyoki lisolo? - Kanisa elise - Mbula ebeti, naleli - Nicodème lulu - Oka banzola - Bana bosenge - Osi dia mba nyue - Ndumba Madeleine - Liwa - Ayebi kobota - Mwanzi wa kalemba - Tuba mbote - Olingi na sala boni - Liwa ya nkoko - Bomba na motema	1 CD (61:09) ; Beih.	Signatur	CD 2262	Verlags-Bestellnummer	CRAW 10	Produkt-Nummer	5410377210028, 5410377210028			1995	"Brussels"	Crammed Discs	"Musik,Kongo,Populäre Musik"	66.20/1711.FH	„Available for the first time since their original release on the Loningisa label in the fiftieth …”			Veröffentlichung (musikalisches Werk)	""	""	"Musikalisches Werk Herausgabe (durch)"	"Kenis, Vincent"	""	
049157175	CD 1655 049157175	Toleki bango / Classic Swédé Swédé		"und"	Enth.: Nalanda te. Yogo. Ekokolo. Bipale ya nini. Kombe kombe. Mama Kadi	1 CD (39:29) ; Stereo, digital ; 12 cm	Signatur	CD 1655	Verlags-Bestellnummer	CRAW 1CD	Produkt-Nummer	5410377201026			1991	"Brussels"	Cramworld/Crammed Discs	"Musik,Kongo,Populäre Musik"	66.19/GeRS				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3058911-3,http://d-nb.info/gnd/3058911-3"	"Classic Swédé Swédé,Classic Swédé Swédé"	"Komposition (von),Interpretation (durch)"	"Classic Swédé Swédé,Classic Swédé Swédé"	","	
051811057	CD 1079 051811057	Sabsylma / Zap Mama. Musiques, textes et arrangements: Marie Daulne ...		"zxx"	Enth. u.a.: Furahi. Mais qu'est-ce?. India	1 CD (61:56) ; Digital audio ; 12 cm ; Beih.	Signatur	CD 1079	Verlags-Bestellnummer	CRAW 12, COL 4765482	Produkt-Nummer	5099747654824			1994	"Brussels,S.l."	Crammed Discs, Columbia	"Musik,Weltmusik,Populäre Musik"	2015/Ge			Interpr.: Zap Mama	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134979338,http://d-nb.info/gnd/3027221-X"	"Daulne, Marie,Zap Mama"	"Beteiligte Person/Körperschaft,Interpretation (durch)"	"Daulne, Marie,Zap Mama"	","	
071552979	CD 449 071552979	Nouvelle ecriture / Viva la Musica & Papa Wemba		"und"	Enth.: Saï saï. She canta. Effo perso. Manu Kapinga. Mama. Jeancy. Est-ce que. Djo. Consolation. Ba diamants	1 CD (60:54) ; Stereo, digital ; 12 cm ; 1 Booklet	Signatur	CD 449	Verlags-Bestellnummer	Sonodisc CDX 8828, 790333	Produkt-Nummer	3252411882851			1997	"Paris"	Sonodisc	"Musik,Populäre Musik"	1998/1581				Veröffentlichung (musikalisches Werk)	",http://d-nb.info/gnd/3041004-6"	",Viva la Musica"	"Interpretation (durch),Beteiligte Person/Körperschaft"	"Wemba, Papa,Viva la Musica"	","	
09343961X	CD 2230 09343961X	Africa worldwide : 35th anniversary album / Tabu Ley Seigneur Rochereau et l'Orchestre Afrisa International		"und"	Enth.: Nairobi. Sala noki Pascal. Café Rica. Lisanga ya bambanda. Likala ya moto. Africa mokili mobimba. Kimakango to libala. Christina. Marie Clara. Mokitani ya wendo. Ruffine. Ah! Congo	1 CD (43:12) ; 12 cm ; Booklet	Signatur	CD 2230	Verlags-Bestellnummer	Rounder 5039, Rounder Records CD 5039	Produkt-Nummer	011661503922			1996	"Cambridge, Ma."	Rounder Records	"Musik,Kongo,Populäre Musik"	66.19/0035	All songs by Tabu Ley Rochereau except Africa mokili mobimba (Déchaud, copyright control)		Interpr.: Afrisa International Orchestra	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,Ley, Tabu,Afrisa International Orchestra"	"Komposition (von),Interpretation (durch),Interpretation (durch)"	"Ley, Tabu,Ley, Tabu,Afrisa International Orchestra"	"1940-2013,1940-2013,"	
095960392	CD 2247 095960392	Bel ami / Papa Noel	Stern's African classics/Classic Congolese guitar	"und"	Enth.: Bon samaritain. Malou. Madiabuana. Simba Martha. Bel ami. Bebe dady. Kizungu zungu. Tshe tshe	1 CD (52:45) ; 12 cm ; 1 Booklet	Signatur	CD 2247	Verlags-Bestellnummer	Sterns Africa STCD 3016	Produkt-Nummer	740042301627			2000	"London, New York, São Paulo"	Sterns Africa	"Musik,Kongo"	66.20/1711.FH	“Tracks 1, 3, 5 & 7 ℗ 1984; Tracks 2, 4, 6 & 8 ℗ 1994” - “Tracks 1, 3, 5 & 7 are from the album 'Haute tension' ℗ 1994“			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/137875509,http://d-nb.info/gnd/137875509"	"Papa Noël,Papa Noël"	"Komposition (von),Interpretation (durch)"	"Papa Noël,Papa Noël"	"1940-,1940-"	
